Con,Lab,LD,UKIP,Green,BXP,date_published,date_ordinals
39.0,45.0,5.0,5.0,2.0,0.0,2017-06-02,736482
41.0,40.0,7.0,2.0,2.0,0.0,2017-06-02,736482
41.0,43.0,7.0,3.0,3.0,0.0,2017-06-04,736484
41.0,44.0,6.0,2.0,1.0,0.0,2017-06-19,736499
41.0,46.0,6.0,2.0,1.0,0.0,2017-06-25,736505
41.0,44.0,7.0,3.0,2.0,0.0,2017-07-03,736513
38.0,46.0,6.0,4.0,1.0,0.0,2017-07-07,736517
41.0,43.0,5.0,5.0,2.0,0.0,2017-07-16,736526
39.0,41.0,8.0,6.0,1.0,0.0,2017-07-16,736526
40.0,45.0,7.0,2.0,1.0,0.0,2017-07-17,736527
42.0,43.0,7.0,3.0,2.0,0.0,2017-07-18,736528
41.0,42.0,9.0,3.0,2.0,0.0,2017-07-20,736530
41.0,42.0,6.0,4.0,2.0,0.0,2017-08-04,736545
42.0,39.0,7.0,6.0,3.0,0.0,2017-08-13,736554
40.0,43.0,6.0,4.0,2.0,0.0,2017-08-20,736561
41.0,42.0,8.0,4.0,1.0,0.0,2017-08-29,736570
42.0,42.0,7.0,3.0,3.0,0.0,2017-08-29,736570
37.0,42.0,10.0,4.0,3.0,0.0,2017-09-08,736580
42.0,42.0,7.0,4.0,3.0,0.0,2017-09-12,736584
41.0,42.0,7.0,3.0,2.0,0.0,2017-09-15,736587
41.0,41.0,5.0,5.0,3.0,0.0,2017-09-17,736589
39.0,38.0,8.0,6.0,4.0,0.0,2017-09-20,736592
40.0,44.0,9.0,2.0,1.0,0.0,2017-09-21,736593
38.0,42.0,8.0,4.0,2.0,0.0,2017-09-24,736596
42.0,40.0,6.0,4.0,2.0,0.0,2017-09-24,736596
40.0,42.0,8.0,4.0,2.0,0.0,2017-09-25,736597
40.0,41.0,7.0,5.0,2.0,0.0,2017-09-26,736598
39.0,43.0,7.0,4.0,2.0,0.0,2017-09-27,736599
38.0,40.0,9.0,4.0,3.0,0.0,2017-10-03,736605
40.0,42.0,7.0,4.0,2.0,0.0,2017-10-06,736608
40.0,42.0,5.0,5.0,2.0,0.0,2017-10-08,736610
41.0,41.0,7.0,4.0,2.0,0.0,2017-10-09,736611
39.0,42.0,8.0,4.0,2.0,0.0,2017-10-13,736615
38.0,44.0,7.0,4.0,1.0,0.0,2017-10-18,736620
40.0,42.0,8.0,4.0,2.0,0.0,2017-10-20,736622
