Con,Lab,LD,Green,BXP/Reform,date_published,date_ordinals
48.0,31.0,8.0,5.0,1.0,2020-01-04,737428
45.0,35.0,6.0,5.0,2.0,2020-01-05,737429
39.0,39.0,6.0,5.0,4.0,2020-01-09,737433
41.0,39.0,8.0,4.0,2.0,2020-01-12,737436
44.0,29.0,11.0,5.0,4.0,2020-01-13,737437
47.0,30.0,9.0,4.0,3.0,2020-01-18,737442
49.0,29.0,10.0,4.0,2.0,2020-01-28,737452
44.0,33.0,10.0,3.0,3.0,2020-01-31,737455
39.0,38.0,8.0,3.0,2.0,2020-02-11,737466
36.0,38.0,9.0,7.0,4.0,2020-02-12,737467
48.0,28.0,10.0,6.0,2.0,2020-02-14,737469
47.0,32.0,7.0,4.0,2.0,2020-02-15,737470
47.0,31.0,9.0,4.0,3.0,2020-02-23,737478
52.0,28.0,8.0,5.0,1.0,2020-03-04,737488
40.0,40.0,7.0,4.0,2.0,2020-03-10,737494
54.0,28.0,7.0,4.0,2.0,2020-03-28,737512
43.0,38.0,4.0,5.0,3.0,2020-04-12,737527
53.0,32.0,5.0,3.0,1.0,2020-04-20,737535
54.0,28.0,9.0,4.0,1.0,2020-04-22,737537
49.0,30.0,8.0,5.0,2.0,2020-05-01,737546
43.0,35.0,6.0,5.0,3.0,2020-05-07,737552
51.0,32.0,7.0,2.0,2.0,2020-05-14,737559
46.0,33.0,7.0,4.0,2.0,2020-05-21,737566
44.0,38.0,6.0,4.0,2.0,2020-05-27,737572
43.0,38.0,6.0,4.0,3.0,2020-05-29,737574
43.0,38.0,8.0,4.0,2.0,2020-05-31,737576
47.0,30.0,11.0,5.0,1.0,2020-06-01,737577
45.0,37.0,6.0,5.0,1.0,2020-06-07,737583
42.0,39.0,7.0,3.0,2.0,2020-06-10,737586
39.0,37.0,9.0,4.0,2.0,2020-06-11,737587
45.0,37.0,6.0,4.0,2.0,2020-06-13,737589
43.0,35.0,8.0,4.0,2.0,2020-06-17,737593
40.0,36.0,9.0,3.0,3.0,2020-06-18,737594
50.0,30.0,7.0,5.0,3.0,2020-07-05,737611
41.0,38.0,8.0,4.0,3.0,2020-07-06,737612
41.0,39.0,7.0,4.0,1.0,2020-07-06,737612
42.0,36.0,8.0,5.0,2.0,2020-07-08,737614
42.0,36.0,8.0,5.0,1.0,2020-07-13,737619
45.0,35.0,9.0,2.0,2.0,2020-07-16,737622
43.0,37.0,6.0,2.0,2.0,2020-07-22,737628
41.0,29.0,11.0,8.0,3.0,2020-08-02,737639
40.0,38.0,8.0,4.0,1.0,2020-08-09,737646
44.0,35.0,5.0,5.0,3.0,2020-08-19,737656
40.0,38.0,6.0,6.0,4.0,2020-08-19,737656
42.0,37.0,7.0,3.0,2.0,2020-08-19,737656
41.0,37.0,9.0,4.0,1.0,2020-08-25,737662
43.0,36.0,6.0,4.0,3.0,2020-08-26,737663
41.0,38.0,5.0,6.0,3.0,2020-09-10,737678
38.0,38.0,6.0,5.0,3.0,2020-09-12,737680
42.0,38.0,6.0,5.0,2.0,2020-09-15,737683
40.0,40.0,6.0,5.0,3.0,2020-09-19,737687
40.0,37.0,8.0,3.0,3.0,2020-09-22,737690
40.0,38.0,7.0,4.0,1.0,2020-09-22,737690
40.0,38.0,9.0,4.0,3.0,2020-09-23,737691
42.0,38.0,6.0,4.0,3.0,2020-09-27,737695
41.0,38.0,6.0,5.0,3.0,2020-09-28,737696
41.0,38.0,8.0,3.0,2.0,2020-09-30,737698
46.0,36.0,6.0,3.0,2.0,2020-10-07,737705
39.0,39.0,7.0,4.0,3.0,2020-10-14,737712
39.0,38.0,6.0,6.0,5.0,2020-10-16,737714
42.0,36.0,8.0,3.0,2.0,2020-10-21,737719
41.0,38.0,5.0,6.0,4.0,2020-10-21,737719
42.0,39.0,7.0,3.0,3.0,2020-10-25,737723
40.0,39.0,7.0,5.0,3.0,2020-10-26,737724
42.0,39.0,7.0,3.0,2.0,2020-10-28,737726
50.0,29.0,11.0,2.0,1.0,2020-11-03,737732
46.0,29.0,10.0,6.0,2.0,2020-11-04,737733
42.0,36.0,8.0,4.0,1.0,2020-11-06,737735
44.0,38.0,7.0,3.0,3.0,2020-11-07,737736
40.0,36.0,8.0,5.0,2.0,2020-11-11,737740
40.0,36.0,8.0,5.0,3.0,2020-11-11,737740
37.0,37.0,8.0,6.0,5.0,2020-11-12,737741
39.0,37.0,8.0,5.0,1.0,2020-11-12,737741
38.0,40.0,5.0,5.0,4.0,2020-11-16,737745
41.0,38.0,5.0,4.0,2.0,2020-11-19,737748
38.0,37.0,7.0,6.0,4.0,2020-11-23,737752
39.0,37.0,7.0,4.0,3.0,2020-11-25,737754
37.0,40.0,5.0,5.0,5.0,2020-11-28,737757
39.0,37.0,7.0,5.0,4.0,2020-11-28,737757
37.0,38.0,9.0,4.0,3.0,2020-11-29,737758
42.0,35.0,8.0,3.0,3.0,2020-12-08,737767
41.0,37.0,7.0,4.0,1.0,2020-12-10,737769
38.0,37.0,8.0,5.0,4.0,2020-12-17,737776
38.0,37.0,10.0,5.0,3.0,2020-12-20,737779
39.0,37.0,6.0,6.0,4.0,2020-12-22,737781
37.0,41.0,5.0,5.0,4.0,2020-12-23,737782
39.0,38.0,8.0,4.0,1.0,2020-12-24,737783
42.0,34.0,7.0,6.0,1.0,2021-01-02,737792
42.0,34.0,9.0,4.0,2.0,2021-01-03,737793
40.0,39.0,6.0,4.0,3.0,2021-01-04,737794
38.0,33.0,9.0,8.0,4.0,2021-01-10,737800
40.0,35.0,10.0,6.0,3.0,2021-01-11,737801
38.0,39.0,5.0,6.0,3.0,2021-01-19,737809
40.0,38.0,8.0,5.0,2.0,2021-01-19,737809
39.0,37.0,7.0,3.0,2.0,2021-01-22,737812
39.0,38.0,5.0,6.0,4.0,2021-01-23,737813
41.0,39.0,7.0,3.0,2.0,2021-01-25,737815
42.0,37.0,8.0,4.0,3.0,2021-01-25,737815
37.0,41.0,6.0,4.0,3.0,2021-01-28,737818
40.0,37.0,10.0,5.0,2.0,2021-01-29,737819
40.0,37.0,8.0,3.0,2.0,2021-01-29,737819
41.0,38.0,7.0,4.0,1.0,2021-01-31,737821
40.0,38.0,8.0,4.0,3.0,2021-02-02,737823
43.0,36.0,7.0,3.0,3.0,2021-02-02,737823
44.0,38.0,7.0,3.0,2.0,2021-02-03,737824
41.0,34.0,11.0,6.0,3.0,2021-02-08,737829
39.0,31.0,8.0,9.0,4.0,2021-02-08,737829
40.0,34.0,10.0,5.0,2.0,2021-02-08,737829
35.0,40.0,10.0,4.0,3.0,2021-02-12,737833
41.0,39.0,8.0,5.0,2.0,2021-02-15,737836
42.0,37.0,7.0,3.0,2.0,2021-02-18,737839
40.0,37.0,7.0,6.0,3.0,2021-02-22,737843
43.0,37.0,7.0,5.0,3.0,2021-02-23,737844
40.0,38.0,7.0,3.0,3.0,2021-02-24,737845
40.0,33.0,11.0,6.0,3.0,2021-02-25,737846
41.0,36.0,5.0,7.0,3.0,2021-02-26,737847
43.0,36.0,7.0,4.0,1.0,2021-02-27,737848
42.0,38.0,6.0,4.0,3.0,2021-02-27,737848
43.0,37.0,5.0,5.0,3.0,2021-03-01,737850
41.0,38.0,6.0,3.0,2.0,2021-03-01,737850
42.0,32.0,9.0,5.0,2.0,2021-03-05,737854
40.0,38.0,7.0,5.0,3.0,2021-03-05,737854
40.0,34.0,10.0,6.0,1.0,2021-03-07,737856
43.0,33.0,9.0,5.0,1.0,2021-03-14,737863
45.0,38.0,6.0,5.0,1.0,2021-03-15,737864
43.0,36.0,7.0,5.0,3.0,2021-03-16,737865
39.0,37.0,8.0,4.0,3.0,2021-03-17,737866
42.0,33.0,7.0,6.0,3.0,2021-03-17,737866
42.0,37.0,7.0,5.0,2.0,2021-03-20,737869
42.0,36.0,9.0,6.0,2.0,2021-03-22,737871
39.0,37.0,9.0,6.0,3.0,2021-03-23,737872
43.0,34.0,5.0,7.0,3.0,2021-03-24,737873
42.0,38.0,6.0,3.0,2.0,2021-03-26,737875
41.0,37.0,6.0,5.0,1.0,2021-03-28,737877
44.0,36.0,6.0,4.0,3.0,2021-03-28,737877
44.0,36.0,7.0,4.0,2.0,2021-03-29,737878
42.0,32.0,8.0,7.0,3.0,2021-03-30,737879
45.0,32.0,6.0,7.0,3.0,2021-04-03,737883
40.0,36.0,8.0,4.0,2.0,2021-04-04,737884
46.0,30.0,6.0,9.0,2.0,2021-04-06,737886
40.0,37.0,10.0,4.0,3.0,2021-04-10,737890
40.0,35.0,9.0,4.0,3.0,2021-04-10,737890
42.0,35.0,7.0,4.0,2.0,2021-04-14,737894
43.0,29.0,8.0,8.0,3.0,2021-04-16,737896
44.0,34.0,10.0,4.0,3.0,2021-04-19,737899
43.0,34.0,7.0,4.0,1.0,2021-04-20,737900
44.0,34.0,5.0,7.0,2.0,2021-04-23,737903
44.0,34.0,8.0,4.0,3.0,2021-04-26,737906
40.0,37.0,8.0,5.0,2.0,2021-04-26,737906
41.0,33.0,10.0,7.0,3.0,2021-04-28,737908
42.0,35.0,8.0,3.0,2.0,2021-04-28,737908
43.0,34.0,5.0,7.0,2.0,2021-04-29,737909
44.0,33.0,7.0,7.0,3.0,2021-04-29,737909
44.0,34.0,9.0,5.0,2.0,2021-05-04,737914
42.0,31.0,10.0,6.0,3.0,2021-05-06,737916
43.0,34.0,8.0,6.0,4.0,2021-05-07,737917
41.0,33.0,9.0,7.0,3.0,2021-05-09,737919
37.0,38.0,10.0,5.0,2.0,2021-05-12,737922
45.0,30.0,7.0,8.0,2.0,2021-05-14,737924
43.0,30.0,11.0,9.0,2.0,2021-05-16,737926
42.0,33.0,10.0,6.0,2.0,2021-05-17,737927
43.0,32.0,8.0,5.0,2.0,2021-05-17,737927
46.0,28.0,8.0,8.0,2.0,2021-05-21,737931
43.0,33.0,10.0,5.0,3.0,2021-05-24,737934
43.0,34.0,9.0,4.0,2.0,2021-05-27,737937
44.0,32.0,7.0,8.0,2.0,2021-05-28,737938
43.0,29.0,8.0,8.0,3.0,2021-05-29,737939
42.0,36.0,6.0,5.0,1.0,2021-05-30,737940
45.0,34.0,8.0,5.0,3.0,2021-05-31,737941
42.0,35.0,8.0,3.0,2.0,2021-06-04,737945
