,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,OUP Vote,SDLP Vote,Alliance Vote,Other Vote,Total votes
0,1,ABERAVON,Wales,0.2472098322977737,0.6167585360627958,0.09006447089071112,0.03805925089110068,,,,,0.007907909857618666,51341
1,2,ABERDARE,Wales,0.17282198237767482,0.7154985404001178,,0.09780658292937679,,,,,0.013872894292830552,37339
2,3,ABERDEEN NORTH,Scotland,0.16973687127308196,0.5934472745006761,0.10833277914477622,0.12848307508146573,,,,,,45111
3,4,ABERDEEN SOUTH,Scotland,0.40719734011343633,0.392098572266771,0.11541169567768433,0.08529239194210834,,,,,,51130
4,7,ABERTILLERY,Wales,0.161525263489618,0.7597604958156798,,0.07871424069470219,,,,,,28559
5,8,ABINGDON,South East,0.5374693515572018,0.24675256925243882,0.21080911888987428,,,,,,0.004968960300485158,76676
6,9,ACCRINGTON,North West,0.40692792162351293,0.48925322403279015,0.09112266320103969,,,,,,0.012696191142657203,40012
7,10,ACTON,London,0.5185312877090157,0.3757480237397493,0.08739872435786933,,,,,,0.018321964193365677,40607
8,11,ALDERSHOT,South East,0.5746636432350718,0.2070748299319728,0.2182615268329554,,,,,,,66150
9,12,ALDRIDGE BROWNHILL,West Midlands,0.5025808671713696,0.3942226810430527,0.10319645178557774,,,,,,,52308
10,13,ALTRINCHAM AND SALE,North West,0.5158076491409824,0.2528360528360528,0.21761201761201762,,,,,,0.013744280410947078,57915
11,14,ANGLESEY,Wales,0.38971764827337013,0.31701336912197386,0.09033190522892685,0.2029370773757291,,,,,,38746
12,17,ANTRIM NORTH,Northern Ireland,,,,,0.5166686963404981,0.23439688242099493,0.07408816903123668,0.11869025147658771,0.05615600073068258,65692
13,18,ANTRIM SOUTH,Northern Ireland,,,,,,0.6896167739482333,0.10092615225834488,0.1617914663624759,0.04766560743094598,73638
14,19,ARGYLL,Scotland,0.36795243269346856,0.15945309670409272,0.15432210551732464,0.3182723650851141,,,,,,33132
15,20,ARMAGH,Northern Ireland,,,,,0.08636997746470236,0.4854746976130981,0.36094801551409605,0.03179469883950882,0.03541261056859469,65231
16,21,ARUNDEL,South East,0.6495973997192879,0.15526335229371352,0.1951392479869986,,,,,,,67685
17,22,ASHFIELD,East Midlands,0.4035157619609218,0.5277786631817167,0.062378478309374305,,,,,,0.006327096547987123,62746
18,23,ASHFORD,South East,0.5565483138436724,0.2671109318958382,0.1619516543220357,,,,,,0.014389099938453703,47119
19,24,ASHTON UNDER LYNE,North West,0.36001426152063465,0.54672876370443,0.0824271325430074,,,,,,0.01082984223192798,44876
