,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
0,W07000049,ABERAVON,,,,,,,,,,,,,,,,0.09836065573770492
1,W07000058,ABERCONWY,,,,,,,,,,,,,,,,
2,S14000001,ABERDEEN NORTH,,,,,,,,,,,,,,,,0.026942506615347608
3,S14000002,ABERDEEN SOUTH,,,,,,,,,,,,,,,,
4,S14000003,AIRDRIE AND SHOTTS,,,,,,,,,,,,,,,,
5,E14000530,ALDERSHOT,,,,,,,,,,,,,,,,
6,E14000531,ALDRIDGE-BROWNHILLS,,,,,,,,,,,,,,,,
7,E14000532,ALTRINCHAM AND SALE WEST,,,,,,,,,,,,,,,,
8,W07000043,ALYN AND DEESIDE,,,,,,,,,,,,,,,,0.062267485119047616
9,E14000533,AMBER VALLEY,,,,,,,,,,,,,,,,
10,S14000004,ANGUS,,,,,,,,,,,,,,,,
11,W07000057,ARFON,,,,,,,,,,,,,,,,0.03986379583132696
12,S14000005,ARGYLL AND BUTE,,,,,,,,,,,,,,,,
13,E14000534,ARUNDEL AND SOUTH DOWNS,,,,,,,,,,,,,,,,
14,E14000535,ASHFIELD,,,,,,,,,,,,,,,,0.05106165781951817
15,E14000536,ASHFORD,,,,,,,,,,,,,,,,
16,E14000537,ASHTON-UNDER-LYNE,,,,,,,,,,,,,,,,0.08167655978641229
17,E14000538,AYLESBURY,,,,,,,,,,,,,,,,
18,S14000006,"AYR, CARRICK AND CUMNOCK",,,,,,,,,,,,,,,,
19,E14000539,BANBURY,,,,,,,,,,,,,,,,
20,S14000007,BANFF AND BUCHAN,,,,,,,,,,,,,,,,
21,E14000540,BARKING,,,,,,,,,,,,,,,,0.07159711454189982
22,E14000541,BARNSLEY CENTRAL,,,,,,,,,,,,,,,,0.3043925968078476
23,E14000542,BARNSLEY EAST,,,,,,,,,,,,,,,,0.29188337273443654
24,E14000543,BARROW AND FURNESS,,,,,,,,,,,,,,,,0.029427094644485948
25,E14000544,BASILDON AND BILLERICAY,,,,,,,,,,,,,,,,
26,E14000545,BASINGSTOKE,,,,,,,,,,,,,,,,
27,E14000546,BASSETLAW,,,,,,,,,,,,,,,,0.10554473751499774
28,E14000547,BATH,,,,,,,,,,,,,,,,0.012313475775825693
29,E14000548,BATLEY AND SPEN,,,,,,,,,,,,,,,,0.03170404519432426
30,E14000549,BATTERSEA,,,,,,,,,,,,,,,,0.006435800390149557
31,E14000550,BEACONSFIELD,,,,,,,,,,,,,,,,
32,E14000551,BECKENHAM,,,,,,,,,,,,,,,,
33,E14000552,BEDFORD,,,,,,,,,,,,,,,,0.018942517071520688
