,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote
0,W07000049,ABERAVON,,,,,,,,,,,,,,,,,na
1,W07000058,ABERCONWY,,,,,,,,,,,,,,,,,na
2,S14000001,ABERDEEN NORTH,,,,,,,,,,,,,,,,,na
3,S14000002,ABERDEEN SOUTH,,,,,,,,,,,,,,,,,na
4,S14000003,AIRDRIE AND SHOTTS,,,,,,,,,,,,,,,,,na
5,E14000530,ALDERSHOT,,,,,,,,,,,,,,,,,na
6,E14000531,ALDRIDGE-BROWNHILLS,,,,,,,,,,,,,,,,,na
7,E14000532,ALTRINCHAM AND SALE WEST,,,,,,,,,,,,,,,,,na
8,W07000043,ALYN AND DEESIDE,,,,,,,,,,,,,,,,,na
9,E14000533,AMBER VALLEY,,,,,,,,,,,,,,,,,na
10,S14000004,ANGUS,,,,,,,,,,,,,,,,,na
11,W07000057,ARFON,,,,,,,,,,,,,,,,,na
12,S14000005,ARGYLL AND BUTE,,,,,,,,,,,,,,,,,na
13,E14000534,ARUNDEL AND SOUTH DOWNS,,,,,,,,,,,,,,,,,na
14,E14000535,ASHFIELD,,,,,,,,,,,,,,,,,na
15,E14000536,ASHFORD,,,,,,,,,,,,,,,,,na
16,E14000537,ASHTON-UNDER-LYNE,,,,,,,,,,,,,,,,,na
17,E14000538,AYLESBURY,,,,,,,,,,,,,,,,,na
18,S14000006,"AYR, CARRICK AND CUMNOCK",,,,,,,,,,,,,,,,,na
19,E14000539,BANBURY,,,,,,,,,,,,,,,,,na
20,S14000007,BANFF AND BUCHAN,,,,,,,,,,,,,,,,,na
21,E14000540,BARKING,,,,,,,,,,,,,,,,,na
22,E14000541,BARNSLEY CENTRAL,,,,,,,,,,,,,,,,,na
23,E14000542,BARNSLEY EAST,,,,,,,,,,,,,,,,,na
24,E14000543,BARROW AND FURNESS,,,,,,,,,,,,,,,,,na
25,E14000544,BASILDON AND BILLERICAY,,,,,,,,,,,,,,,,,na
26,E14000545,BASINGSTOKE,,,,,,,,,,,,,,,,,na
27,E14000546,BASSETLAW,,,,,,,,,,,,,,,,,na
28,E14000547,BATH,,,,,,,,,,,,,,,,,na
29,E14000548,BATLEY AND SPEN,,,,,,,,,,,,,,,,,na
30,E14000549,BATTERSEA,,,,,,,,,,,,,,,,,na
31,E14000550,BEACONSFIELD,,,,,,,,,,,,,,,,,na
32,E14000551,BECKENHAM,,,,,,,,,,,,,,,,,na
33,E14000552,BEDFORD,,,,,,,,,,,,,,,,,na
34,N06000001,BELFAST EAST,,,,,,,,,,,,,,,,,na
35,N06000002,BELFAST NORTH,,,,,,,,,,,,,,,,,na
36,N06000003,BELFAST SOUTH,,,,,,,,,,,,,,,,,na
37,N06000004,BELFAST WEST,,,,,,,,,,,,,,,,,na
38,E14000553,BERMONDSEY AND OLD SOUTHWARK,,,,,,,,,,,,,,,,,na
39,S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",,,,,,,,,,,,,,,,,na
40,E14000554,BERWICK-UPON-TWEED,,,,,,,,,,,,,,,,,na
41,E14000555,BETHNAL GREEN AND BOW,,,,,,,,,,,,,,,,,na
42,E14000556,BEVERLEY AND HOLDERNESS,,,,,,,,,,,,,,,,,na
43,E14000557,BEXHILL AND BATTLE,,,,,,,,,,,,,,,,,na
44,E14000558,BEXLEYHEATH AND CRAYFORD,,,,,,,,,,,,,,,,,na
45,E14000559,BIRKENHEAD,,,,,,,,,,,,,,,,,na
46,E14000560,"BIRMINGHAM, EDGBASTON",,,,,,,,,,,,,,,,,na
47,E14000561,"BIRMINGHAM, ERDINGTON",,,,,,,,,,,,,,,,,na
48,E14000562,"BIRMINGHAM, HALL GREEN",,,,,,,,,,,,,,,,,na
49,E14000563,"BIRMINGHAM, HODGE HILL",,,,,,,,,,,,,,,,,na
50,E14000564,"BIRMINGHAM, LADYWOOD",,,,,,,,,,,,,,,,,na
51,E14000565,"BIRMINGHAM, NORTHFIELD",,,,,,,,,,,,,,,,,na
52,E14000566,"BIRMINGHAM, PERRY BARR",,,,,,,,,,,,,,,,,na
53,E14000567,"BIRMINGHAM, SELLY OAK",,,,,,,,,,,,,,,,,na
54,E14000568,"BIRMINGHAM, YARDLEY",,,,,,,,,,,,,,,,,na
55,E14000569,BISHOP AUCKLAND,,,,,,,,,,,,,,,,,na
56,E14000570,BLACKBURN,,,,,,,,,,,,,,,,,na
57,E14000571,BLACKLEY AND BROUGHTON,,,,,,,,,,,,,,,,,na
58,E14000572,BLACKPOOL NORTH AND CLEVELEYS,,,,,,,,,,,,,,,,,na
59,E14000573,BLACKPOOL SOUTH,,,,,,,,,,,,,,,,,na
60,W07000072,BLAENAU GWENT,,,,,,,,,,,,,,,,,na
61,E14000574,BLAYDON,,,,,,,,,,,,,,,,,na
62,E14000575,BLYTH VALLEY,,,,,,,,,,,,,,,,,na
63,E14000576,BOGNOR REGIS AND LITTLEHAMPTON,,,,,,,,,,,,,,,,,na
64,E14000577,BOLSOVER,,,,,,,,,,,,,,,,,na
65,E14000578,BOLTON NORTH EAST,,,,,,,,,,,,,,,,,na
66,E14000579,BOLTON SOUTH EAST,,,,,,,,,,,,,,,,,na
67,E14000580,BOLTON WEST,,,,,,,,,,,,,,,,,na
68,E14000581,BOOTLE,,,,,,,,,,,,,,,,,na
69,E14000582,BOSTON AND SKEGNESS,,,,,,,,,,,,,,,,,na
70,E14000583,BOSWORTH,,,,,,,,,,,,,,,,,na
71,E14000584,BOURNEMOUTH EAST,,,,,,,,,,,,,,,,,na
72,E14000585,BOURNEMOUTH WEST,,,,,,,,,,,,,,,,,na
73,E14000586,BRACKNELL,,,,,,,,,,,,,,,,,na
74,E14000587,BRADFORD EAST,,,,,,,,,,,,,,,,,na
75,E14000588,BRADFORD SOUTH,,,,,,,,,,,,,,,,,na
76,E14000589,BRADFORD WEST,,,,,,,,,,,,,,,,,na
77,E14000590,BRAINTREE,,,,,,,,,,,,,,,,,na
78,W07000068,BRECON AND RADNORSHIRE,,,,,,,,,,,,,,,,,na
79,E14000591,BRENT CENTRAL,,,,,,,,,,,,,,,,,na
80,E14000593,BRENTFORD AND ISLEWORTH,,,,,,,,,,,,,,,,,na
81,E14000592,BRENT NORTH,,,,,,,,,,,,,,,,,na
82,E14000594,BRENTWOOD AND ONGAR,,,,,,,,,,,,,,,,,na
83,W07000073,BRIDGEND,,,,,,,,,,,,,,,,,na
84,E14000595,BRIDGWATER AND WEST SOMERSET,,,,,,,,,,,,,,,,,na
85,E14000596,BRIGG AND GOOLE,,,,,,,,,,,,,,,,,na
86,E14000597,"BRIGHTON, KEMPTOWN",,,,,,,,,,,,,,,,,na
87,E14000598,"BRIGHTON, PAVILION",,,,,,,,,,,,,,,,,na
88,E14000599,BRISTOL EAST,,,,,,,,,,,,,,,,,na
89,E14000600,BRISTOL NORTH WEST,,,,,,,,,,,,,,,,,na
90,E14000601,BRISTOL SOUTH,,,,,,,,,,,,,,,,,na
91,E14000602,BRISTOL WEST,,,,,,,,,,,,,,,,,na
