id,Constituency,Region,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
W07000049,ABERAVON,Wales,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W07000058,ABERCONWY,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
S14000001,ABERDEEN NORTH,Scotland,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S14000002,ABERDEEN SOUTH,Scotland,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S14000003,AIRDRIE AND SHOTTS,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000530,ALDERSHOT,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
E14000532,ALTRINCHAM AND SALE WEST,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
W07000043,ALYN AND DEESIDE,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000533,AMBER VALLEY,East Midlands,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S14000004,ANGUS,Scotland,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W07000057,ARFON,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
S14000005,ARGYLL AND BUTE,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000534,ARUNDEL AND SOUTH DOWNS,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000535,ASHFIELD,East Midlands,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000536,ASHFORD,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000537,ASHTON-UNDER-LYNE,North West,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
E14000538,AYLESBURY,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S14000006,"AYR, CARRICK AND CUMNOCK",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000539,BANBURY,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S14000007,BANFF AND BUCHAN,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000540,BARKING,London,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
E14000541,BARNSLEY CENTRAL,Yorkshire and The Humber,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000542,BARNSLEY EAST,Yorkshire and The Humber,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
E14000543,BARROW AND FURNESS,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000544,BASILDON AND BILLERICAY,East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000545,BASINGSTOKE,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
E14000546,BASSETLAW,East Midlands,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000547,BATH,South West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
E14000548,BATLEY AND SPEN,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000549,BATTERSEA,London,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000550,BEACONSFIELD,South East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000551,BECKENHAM,London,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000552,BEDFORD,East,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N06000001,BELFAST EAST,Northern Ireland,0,0,0,0,0.0,0.3136754986369609,0.4531109454909923,0.6190403840894588,0.515129501830069,0.42634963744907634,0.4253984631676125,0.49145340728487563,0.32782417072604964,0.4932967088352402,0.5576358125437165,0.4917893744846272
N06000002,BELFAST NORTH,Northern Ireland,0,0,0,0,0.0,0.27607217079161156,0.19472406233055942,0.0,0.0,0.0,0.4084334994625232,0.456286836935167,0.4004000756899954,0.4704259355061217,0.46238244514106586,0.43100108081652627
N06000003,BELFAST SOUTH,Northern Ireland,0,0,0,0,0.0,0.0,0.12219604903902778,0.0,0.0,0.0,0.0,0.2842512801298864,0.23693909787632364,0.22214236209153682,0.3042901269877588,0.24662105085318467
N06000004,BELFAST WEST,Northern Ireland,0,0,0,0,0.36529218883349057,0.11163517289031755,0.05407293873687058,0.0,0.0,0.0,0.06444292616270558,0.10571718048921697,0.07580991504061245,0.07849075830054629,0.1342504860581301,0.1345985250889588
E14000553,BERMONDSEY AND OLD SOUTHWARK,London,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000554,BERWICK-UPON-TWEED,North East,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000555,BETHNAL GREEN AND BOW,London,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000556,BEVERLEY AND HOLDERNESS,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000557,BEXHILL AND BATTLE,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000558,BEXLEYHEATH AND CRAYFORD,London,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000559,BIRKENHEAD,North West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000560,"BIRMINGHAM, EDGBASTON",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000561,"BIRMINGHAM, ERDINGTON",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000562,"BIRMINGHAM, HALL GREEN",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000563,"BIRMINGHAM, HODGE HILL",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000564,"BIRMINGHAM, LADYWOOD",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000565,"BIRMINGHAM, NORTHFIELD",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000566,"BIRMINGHAM, PERRY BARR",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000567,"BIRMINGHAM, SELLY OAK",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000568,"BIRMINGHAM, YARDLEY",West Midlands,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
E14000569,BISHOP AUCKLAND,North East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000570,BLACKBURN,North West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000571,BLACKLEY AND BROUGHTON,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000572,BLACKPOOL NORTH AND CLEVELEYS,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000573,BLACKPOOL SOUTH,North West,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W07000072,BLAENAU GWENT,Wales,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000574,BLAYDON,North East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000575,BLYTH VALLEY,North East,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000576,BOGNOR REGIS AND LITTLEHAMPTON,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000577,BOLSOVER,East Midlands,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000578,BOLTON NORTH EAST,North West,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000579,BOLTON SOUTH EAST,North West,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000580,BOLTON WEST,North West,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000581,BOOTLE,North West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000582,BOSTON AND SKEGNESS,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000583,BOSWORTH,East Midlands,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000584,BOURNEMOUTH EAST,South West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000585,BOURNEMOUTH WEST,South West,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000586,BRACKNELL,South East,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000587,BRADFORD EAST,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
E14000588,BRADFORD SOUTH,Yorkshire and The Humber,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000589,BRADFORD WEST,Yorkshire and The Humber,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000590,BRAINTREE,East,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W07000068,BRECON AND RADNORSHIRE,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000591,BRENT CENTRAL,London,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
E14000593,BRENTFORD AND ISLEWORTH,London,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000592,BRENT NORTH,London,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000594,BRENTWOOD AND ONGAR,East,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0
W07000073,BRIDGEND,Wales,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E14000595,BRIDGWATER AND WEST SOMERSET,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000596,BRIGG AND GOOLE,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
