id,Constituency,Region,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
W07000049,ABERAVON,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.022554959870570695,0.0,0.014241407684030635
W07000058,ABERCONWY,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02411436911237893,0.0,0.0
S14000001,ABERDEEN NORTH,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.023521235934033626
S14000002,ABERDEEN SOUTH,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.009597062787563322,0.019855409775287842,0.0,0.0
S14000003,AIRDRIE AND SHOTTS,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.017223172080860907
E14000530,ALDERSHOT,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.043839709034227445,0.022267620020429008,0.03651005591254277
E14000531,ALDRIDGE-BROWNHILLS,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.021923694155407153,0.020912980732713877,0.0,0.01959737684916883
E14000532,ALTRINCHAM AND SALE WEST,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.018942981625307824,0.028595949820134033
W07000043,ALYN AND DEESIDE,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000533,AMBER VALLEY,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.023776713257650326,0.014188731963938791,0.03046064037571049
S14000004,ANGUS,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021692705406316737,0.0,0.0
W07000057,ARFON,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
S14000005,ARGYLL AND BUTE,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.017453049306523326,0,0.0,0.0
E14000534,ARUNDEL AND SOUTH DOWNS,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.042186670207116306,0.04102071391349661
E14000535,ASHFIELD,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.007961114556037846,0.013760718660677828
E14000536,ASHFORD,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.018374558303886925,0.043000069720421114,0.023413884667412614,0.04392347524933815
E14000537,ASHTON-UNDER-LYNE,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.013426193648957837,0.03131237201586355
E14000538,AYLESBURY,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03852469369710749,0.021043498970790876,0.039520602218700476
S14000006,"AYR, CARRICK AND CUMNOCK",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000539,BANBURY,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.01705161714763251,0.04630395807474831,0.01989863877067022,0.04143290793216891
S14000007,BANFF AND BUCHAN,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000540,BARKING,London,0,0,0,0,0,0,0,0,0,0,0,0,0.006991156297554198,0.02084059385237332,0.015184882233268315,0.018427380390570576
E14000541,BARNSLEY CENTRAL,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.025656455142231947,0.01458285363420063,0.02438826111698236
E14000542,BARNSLEY EAST,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.024218544785920674
E14000543,BARROW AND FURNESS,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.012011603662405947,0,0.007879806682076067,0.015267341354297876
E14000544,BASILDON AND BILLERICAY,East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.03161258158085569
E14000545,BASINGSTOKE,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01976411722659042,0.039076636265604155
E14000546,BASSETLAW,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02041023352066384,0.0,0.0
E14000547,BATH,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.023786263432867518,0.11944791909597811,0.022709396365689853,0.0
E14000548,BATLEY AND SPEN,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.01183744545970377,0,0.012923019709929342,0.013074612201711792
E14000549,BATTERSEA,London,0,0,0,0,0,0,0,0,0,0,0,0,0.011456796196097721,0.032960357429797575,0.015728867739474735,0.025493105690514696
E14000550,BEACONSFIELD,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.014631358353972185,0.04196527660214811,0.024916113371885484,0.03513167899357158
E14000551,BECKENHAM,London,0,0,0,0,0,0,0,0,0,0,0,0,0.012750073396804094,0.038481240907321274,0.02672864613596746,0.04064879833844328
E14000552,BEDFORD,East,0,0,0,0,0,0,0,0,0,0,0,0,0.00871358254622855,0.030638371739790827,0.020792079207920793,0.020295554005200736
N06000001,BELFAST EAST,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.026661962602691398,0.013079972021450222,0.0
N06000002,BELFAST NORTH,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.014019505398815744,0.0
N06000003,BELFAST SOUTH,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0.030304803135786578,0.05744795543804708,0.05127559775769363,0.0
N06000004,BELFAST WEST,Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
E14000553,BERMONDSEY AND OLD SOUTHWARK,London,0,0,0,0,0,0,0,0,0,0,0,0,0.016080266959306623,0,0.010919157225611318,0.0
S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000554,BERWICK-UPON-TWEED,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03681072656655864,0.01864398749170852,0.03310456197012515
E14000555,BETHNAL GREEN AND BOW,London,0,0,0,0,0,0,0,0,0,0,0,0,0.01687431004573411,0,0.025340576681989135,0.042435850863577824
E14000556,BEVERLEY AND HOLDERNESS,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.012894979228932875,0,0.01286890254861785,0.025736804751410106
E14000557,BEXHILL AND BATTLE,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.02417944578961528,0.045555311119760376
E14000558,BEXLEYHEATH AND CRAYFORD,London,0,0,0,0,0,0,0,0,0,0,0,0,0.008591542772451484,0,0.013299696828874283,0.03001433658604264
E14000559,BIRKENHEAD,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04153893316983446,0.021597233355472596,0.03319237402253774
E14000560,"BIRMINGHAM, EDGBASTON",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.011281903249861683,0,0.01288636155186646,0.02627102627102627
E14000561,"BIRMINGHAM, ERDINGTON",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.01639035924443131,0.01839393681342076
E14000562,"BIRMINGHAM, HALL GREEN",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.01530104953047321,0.015459923267373514
E14000563,"BIRMINGHAM, HODGE HILL",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.008341595896021037,0.007288402995355865
E14000564,"BIRMINGHAM, LADYWOOD",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.023972316021544385,0,0.012903381993366742,0.022104563369580704
E14000565,"BIRMINGHAM, NORTHFIELD",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.009709666618835797,0,0.019482276540092,0.022135597939579563
E14000566,"BIRMINGHAM, PERRY BARR",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.013371948322284317,0.020048876551118703
E14000567,"BIRMINGHAM, SELLY OAK",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0142602495543672,0,0.017883025415943655,0.037358238825883926
E14000568,"BIRMINGHAM, YARDLEY",West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.006291852051593187,0.013566708842963588
E14000569,BISHOP AUCKLAND,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03922414887405113,0.0,0.0
E14000570,BLACKBURN,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01656384120171674
E14000571,BLACKLEY AND BROUGHTON,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.011517463166554484,0.023823087679320523
E14000572,BLACKPOOL NORTH AND CLEVELEYS,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.009291096642036726,0.018941346252963613
E14000573,BLACKPOOL SOUTH,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02592798125539524,0.009755958000743857,0.01718978993649243
W07000072,BLAENAU GWENT,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02329324874538396,0.0,0.012773420695588868
E14000574,BLAYDON,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03667438134235357,0.012124615256634223,0.027998511416124867
E14000575,BLYTH VALLEY,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03777852889940459,0.02160508354907037,0.028047676154580387
E14000576,BOGNOR REGIS AND LITTLEHAMPTON,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.019337124162642157,0.03564804872811042
E14000577,BOLSOVER,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.016500500674822588
E14000578,BOLTON NORTH EAST,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.025555478325340004,0.007901201779430317,0.015818716135549638
E14000579,BOLTON SOUTH EAST,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.015503484496515504,0.029452912156689492,0.012688136474257495,0.01948083932617476
E14000580,BOLTON WEST,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.011455355641499916,0.0,0.0,0.01904742585906122
E14000581,BOOTLE,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03324326718639263,0.014098790964047089,0.023711717574327898
E14000582,BOSTON AND SKEGNESS,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.012756827351384127,0.0
E14000583,BOSWORTH,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.018640507050277737,0.026616104337964276
E14000584,BOURNEMOUTH EAST,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07279095188167846,0.02542268295692953,0.04158379672849779
E14000585,BOURNEMOUTH WEST,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07437818686711513,0.028018064574111937,0.04558801139700285
E14000586,BRACKNELL,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.015747276354150682,0.04147986286403195,0.0,0.0384360625574977
E14000587,BRADFORD EAST,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021035598705501618,0.006334663101135417,0.014982799203331523
E14000588,BRADFORD SOUTH,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03305851063829787,0.009013617871324514,0.02473516016204927
E14000589,BRADFORD WEST,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.02316640378548896,0.02692975924547034,0.010564927077842207,0.018368315221074988
E14000590,BRAINTREE,East,0,0,0,0,0,0,0,0,0,0,0,0,0.014592606141901917,0.031103951633752958,0.017505637732675917,0.0
W07000068,BRECON AND RADNORSHIRE,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.008778478568670357,0,0.0,0.0
E14000591,BRENT CENTRAL,London,0,0,0,0,0,0,0,0,0,0,0,0,0.014738653663702755,0.04065317230821568,0.015335780939268778,0.03256533420174224
E14000593,BRENTFORD AND ISLEWORTH,London,0,0,0,0,0,0,0,0,0,0,0,0,0.01463777550451037,0,0.0,0.031358227891506364
E14000592,BRENT NORTH,London,0,0,0,0,0,0,0,0,0,0,0,0,0.013862862824582201,0.02946300373312913,0.01169300545673588,0.016384278802598354
E14000594,BRENTWOOD AND ONGAR,East,0,0,0,0,0,0,0,0,0,0,0,0,0.011543327008222644,0,0.017293517293517295,0.031709758446807304
W07000073,BRIDGEND,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0186551086102451,0.0,0.01929633488019699
E14000595,BRIDGWATER AND WEST SOMERSET,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.01576349255867726,0,0.018174953232532993,0.03255741344619441
E14000596,BRIGG AND GOOLE,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.012206760325809531,0.029514768904658772
E14000597,"BRIGHTON, KEMPTOWN",South East,0,0,0,0,0,0,0,0,0,0,0,0,0.05456035593021894,0,0.0,0.046092349535367685
E14000598,"BRIGHTON, PAVILION",South East,0,0,0,0,0,0,0,0,0,0,0,0,0.3132692827101902,0,0.5226307486955467,0.571588675471568
E14000599,BRISTOL EAST,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.01783770575560344,0.08281219570250795,0.021850823835114865,0.04038041185719216
E14000600,BRISTOL NORTH WEST,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.010151780038143675,0.056982916706881576,0.022977669328601007,0.03537621902120426
E14000601,BRISTOL SOUTH,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.025135911693573394,0.11527870658117305,0.026258688536648155,0.04915211247191825
E14000602,BRISTOL WEST,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0377617576381737,0.2682581207761064,0.12870070383197407,0.24903347103061116
E14000603,BROADLAND,East,0,0,0,0,0,0,0,0,0,0,0,0,0.014275951097273901,0.042419333571926385,0.016651480230833824,0.024781929550520384
E14000604,BROMLEY AND CHISLEHURST,London,0,0,0,0,0,0,0,0,0,0,0,0,0.013783863569271295,0,0.024645321675024645,0.03392880656629944
E14000605,BROMSGROVE,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03309407598813283,0.021076980014803848,0.03285303655660377
E14000606,BROXBOURNE,East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.026420997740309402,0.017858271032957777,0.027426883055710186
E14000607,BROXTOWE,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.008022455288561837,0.028892215568862276,0.012268501837572962,0.03267477203647416
E14000608,BUCKINGHAM,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13782313938761825,0.1627593538222062,0.0
E14000609,BURNLEY,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0213857998289136,0.011442045172499379,0.018956494972296328
E14000610,BURTON,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.024992853350757543,0.016509386708340845,0.029402109237145552
E14000611,BURY NORTH,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02522661950033164,0.0,0.017121752311009587
E14000612,BURY SOUTH,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.010214017858992687,0.030371703907656464,0.0,0.016867565739746192
E14000613,BURY ST EDMUNDS,East,0,0,0,0,0,0,0,0,0,0,0,0,0.0429340236384073,0.0790684349775029,0.041763191763191765,0.15673773746307923
W07000076,CAERPHILLY,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.023260432440483578,0.010824030801268857,0.0
S14000009,"CAITHNESS, SUTHERLAND AND EASTER ROSS",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000614,CALDER VALLEY,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.01657010428736964,0.03903550550045759,0.010869190753436456,0.0
