,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
0,W07000049,ABERAVON,0.7211197037359764,0.7544467286378262,0.6698611675615548,0.65,0.6281983450085713,0.6167585360627958,0.5875293826549548,0.6676676183912572,0.6707679253288078,0.7132330450741039,0.6314342497515734,0.6004849853840021,0.5191872860003877,0.4890397487548774,0.6811951424792594,0.03392619786062409
1,W07000058,ABERCONWY,,,,,,,,,,,,,0.24481078555696456,0.2824067931537747,0.42618973561430795,0.0571473403420681
2,S14000001,ABERDEEN NORTH,0.689114910192599,0.6754620508490478,0.6208712409805943,0.48,0.5087541791307408,0.5934472745006761,0.47022923125747623,0.5466503656410605,0.4704076283667407,0.47869321879474164,0.43340909839575714,0.42466015177157834,0.4441791994907297,0.259400036416606,0.3001061022390293,0.07606981530484057
3,S14000002,ABERDEEN SOUTH,0.43898532444391053,0.46047844998022935,0.4333352377687634,0.33,0.3477075493433684,0.392098572266771,0.29865237288564134,0.37668023475956075,0.3478059821363382,0.35270754845445057,0.3983735429655733,0.3669301554503736,0.3653390342519868,0.26757430330992155,0.20549299889870318,0.10995223278846575
4,S14000003,AIRDRIE AND SHOTTS,,,,,,,,,,,,,0.581578286702558,,0.3709278459028472,0.035678366690133766
5,E14000530,ALDERSHOT,0.2766785663863173,0.31970727802870047,0.31571919751644023,0.24,0.25478054688432866,0.2070748299319728,0.10757070957680584,0.11803547249293726,0.1328982128982129,0.24112204760761574,0.2515898251192369,0.2055420535510272,0.12094570773841001,0.1833257560996731,0.31617977528089886,0.14437119252274055
6,E14000531,ALDRIDGE-BROWNHILLS,,,,0.39,,,0.24918611245300457,0.28327548631850835,0.3325691140788292,,,0.3346394984326019,0.19793446187296165,0.22368787502848317,0.2984963340375295,0.060266381983630726
7,E14000532,ALTRINCHAM AND SALE WEST,,,,,,,,,,,,,0.22418156418925758,,0.38846372419018754,0.11022040428756642
8,W07000043,ALYN AND DEESIDE,,,,,,,,,,,,,0.3958620344162513,,0.5208891867739053,0.059244791666666664
9,E14000533,AMBER VALLEY,,,,,,,0.3528749684655838,0.3435173529940658,0.44945975966878726,0.5466544956640803,0.5189719857120392,0.4556350361883058,0.374472344314374,0.3478137235601636,0.3842963480386807,0.0630500142647091
10,S14000004,ANGUS,,,,,,,,,,0.15630513511003807,0.23371319224288123,0.17957792633372657,0.17215489989462593,0.0880971113858604,0.1302000398089172,0.05749362983553394
11,W07000057,ARFON,,,,,,,,,,,,,0.3040110437917018,0.30264187502328876,0.405097844583097,
12,S14000005,ARGYLL AND BUTE,,,,,,,,,,,,,0.22726568894197802,,0.1257359212798269,0.14218522372528616
13,E14000534,ARUNDEL AND SOUTH DOWNS,,,,,,,,,,,,,0.086367046550677,,0.2271972915560276,0.21243160500260552
14,E14000535,ASHFIELD,0.728434037215137,0.7362760622855635,0.6820758096121026,0.59,0.6340671949514145,0.5277786631817167,0.4249168983146395,0.4165358068874849,0.5488172780253685,0.6517202537398968,0.5813214739517154,0.4859099664692873,0.3369366752427587,0.4102174692568922,0.4257596063448883,0.022560228664761126
15,E14000536,ASHFORD,0.28178912236167913,0.31004867546569315,0.2888984934551741,0.26,0.3047122583015662,0.2671109318958382,0.12865070093457945,0.14664001056185286,0.19994370260903221,0.31728578145910946,0.3208377662348499,0.2583534874721873,0.1667844522968198,0.1844105138395036,0.2979341672372618,0.10070097737225062
16,E14000537,ASHTON-UNDER-LYNE,,,,0.48,,,0.49726335742210637,0.5176408027374456,0.5661117004104598,,,0.5737820218032299,0.4840757701915071,,0.6035501470847057,0.03615956867725965
17,E14000538,AYLESBURY,0.3252804993678888,0.3749881428923754,0.35017302223592695,0.26,0.2896617436874702,0.24173128388115006,0.1222200883426157,0.13845563348337345,0.1339193056385421,0.22168745873440596,0.23199625155336442,0.18538670812281383,0.12593581881795268,0.15141016618849132,0.30037595903577563,0.1664190438457475
18,S14000006,"AYR, CARRICK AND CUMNOCK",,,,,,,,,,,,,0.471357287603774,,0.2385011466401281,0.04631696428571429
19,E14000539,BANBURY,0.3832079550367488,0.4029867910889137,0.3661201390808444,0.33,0.35242919730871536,0.2920312005902814,0.1900876889585156,0.20398555519842695,0.2645913732454493,0.3479964411593608,0.3504222071241386,0.277268764788557,0.1915506481036966,0.21297062474141498,0.3409408401286508,0.14035059836938382
20,S14000007,BANFF AND BUCHAN,,,,,,,,,,,,,0.1399157697707066,,0.09451768604567394,0.05395172740179839
21,E14000540,BARKING,0.6262563155321346,0.6615265111194223,0.69384332039729,0.6,0.6391954432182271,0.5278020632977793,0.4212448860315605,0.4431545120291827,0.5160705689122986,,0.6090105866433176,0.4750223321651893,0.543148887369605,0.5767988661973468,0.6778455923991694,0.033304119193689745
22,E14000541,BARNSLEY CENTRAL,,,,,,,0.5980236504981934,0.6675775762993232,0.6925440393281442,0.7699054405920241,0.6964019896162364,0.6107985322383366,0.47260884840950246,0.5573304157549234,0.639138332437895,0.03186732785952361
23,E14000542,BARNSLEY EAST,,,,,,,0.6627942440458037,0.7447963568065454,0.77188787709213,,,,0.4704579794716824,0.5472648440948152,0.5954483029232882,0.03493564486472288
24,E14000543,BARROW AND FURNESS,,,,,,,,,,,,,0.48105339497778987,,0.4747215801639,0.04397776136906572
25,E14000544,BASILDON AND BILLERICAY,,,,,,,,,,,,,0.23055642425846185,,0.3112560666102676,0.08477610587382162
26,E14000545,BASINGSTOKE,0.34455128205128205,0.3941658461105641,0.37202290352975287,0.32,0.3393544742280303,0.26500901175335717,0.1925066001229612,0.17704361147652906,0.23767782518164743,,0.4085842275237004,0.31741578870810216,0.20387333675524144,0.27707438390232875,0.3581844174410293,0.12503426973479795
27,E14000546,BASSETLAW,0.5902648624382736,0.6163371859520729,0.5486529498692736,0.6,0.5369010602030495,0.5022701669340798,0.4559737462824326,0.4810224925624846,0.5335720187276233,0.6103622841190809,0.5529245404293611,0.5663328540974667,0.5046291627165823,0.4862139625474244,0.5256842105263158,0.06553765661572353
28,E14000547,BATH,0.35922499563623667,0.4122446257475046,0.3614191173248017,0.28,0.2860613732415933,0.2298269296637318,0.15163985794861082,0.10628811858256774,0.07802781000932073,,0.1570114048729912,0.14776594816301597,0.06904387716093956,0.13178705450844871,0.14680434826452615,0.5450726917027887
29,E14000548,BATLEY AND SPEN,,,,,,,,,,,,,0.42194134105539144,,0.5549274823354406,0.046516900636726054
30,E14000549,BATTERSEA,,,,,,,0.4382613447482866,0.42431667441172743,0.41219563512557145,0.5073527860413106,0.5026084121291164,0.40363955272966456,0.3510001639613051,0.36824675197429013,0.45937011878382794,0.15255848075095454
31,E14000550,BEACONSFIELD,,,,0.22,0.25477720250348285,0.20167239581321694,0.10659347540230844,0.10300522648083624,0.13546020159231453,0.20045417421963707,0.21753986332574032,0.19350688141901984,0.11687940560106687,0.11425239358200252,0.21446419647319198,
32,E14000551,BECKENHAM,0.23720855786160167,0.2675291258666285,0.24495281777510433,0.24,0.2683302823007997,0.25082599755088836,0.15526002285380855,0.17834049287813702,0.23847898887328509,0.3335970561177553,0.3436855274131952,0.28147210195245487,0.14454976303317535,0.19433231563633382,0.3010846407127639,0.16208090198793393
33,E14000552,BEDFORD,0.3853753271975006,0.45223098179453836,0.4038871088428848,0.32,0.3643484369511767,0.30796428160305217,,,,0.5061703170970906,0.4794105325414623,0.4173084236546872,0.3590306416566893,0.40203098554875666,0.4684818481848185,0.09741865922496352
34,N06000001,BELFAST EAST,0.3687242213056464,0.4533429224565279,0.4054222084064214,,,,,,,,,,,,,
35,N06000002,BELFAST NORTH,0.3493029453294354,0.42562689563842965,0.31928484520751654,,,,,,,,,,,,,
36,N06000003,BELFAST SOUTH,0.22363534618710892,0.346398453478273,0.295906881555385,,,,,,,,,,,,,
37,N06000004,BELFAST WEST,0.24248678677520158,,,,,,,,,,,,,,,
38,E14000553,BERMONDSEY AND OLD SOUTHWARK,,,,,,,,,,,,,0.2924906497054937,,0.532475521607628,0.26609229719355115
39,S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",,,,,,,,,,,,,0.10207287713714448,,0.08629480397960548,0.08066458435253829
40,E14000554,BERWICK-UPON-TWEED,,,,0.12,,,0.14336788559362704,0.17506303220588934,0.22857603092783504,0.2623017486783245,0.17723366751129227,0.1833748960931006,0.13166315460860065,0.14946936150211512,0.24552260020847153,0.18181386401956826
41,E14000555,BETHNAL GREEN AND BOW,,,,,,,,,,,,,0.42942753508910264,,0.7182448809026327,0.0972887289059146
42,E14000556,BEVERLEY AND HOLDERNESS,,,,,,,,,,,,,0.2109814094249892,,0.33173370717854705,0.08723992379813977
43,E14000557,BEXHILL AND BATTLE,,,,,,,,,,,,,0.11951563559089161,,0.24699018025289213,0.12319564076963431
44,E14000558,BEXLEYHEATH AND CRAYFORD,,,,,,,,,,,,,0.2651567782872493,,0.3549536391599726,0.06518521944226055
45,E14000559,BIRKENHEAD,0.5695634628622973,0.6012428535918469,0.5066653786707882,0.45,0.51302132477826,0.4987413392150752,0.49568257893951345,0.5871464970835352,0.636258281765902,0.7076011494545177,0.7048710601719198,0.6499316202404088,0.6251450896016759,0.676170038830983,0.7685683530678149,0.03827163410427839
46,E14000560,"BIRMINGHAM, EDGBASTON",,,,,,,,,,0.48600020633446817,0.4905295504516676,0.4375381998883899,0.40638906930311997,,0.5531505090342108,0.07912020412020412
47,E14000561,"BIRMINGHAM, ERDINGTON",,,,,,,,,,0.5881159205088228,0.5677362436282839,0.5295155295155295,0.41830304394305967,,0.5796007201010291,0.03692980215163644
48,E14000562,"BIRMINGHAM, HALL GREEN",,,,,,,,,,0.5349721418493986,0.5455507193809697,0.4720870975214269,0.3291604244053605,,0.7759712760081017,0.06941845740961237
49,E14000563,"BIRMINGHAM, HODGE HILL",,,,,,,,,,0.6559287785164143,0.6386170413754014,0.48639898652215224,0.51980128084385,,0.8105789541751088,0.016887763038019688
50,E14000564,"BIRMINGHAM, LADYWOOD",,,,,,,,,,0.7408168101745793,0.688851490807481,0.5192203573362209,0.5567493651103731,,0.8271237320550996,0.05289899805308894
51,E14000565,"BIRMINGHAM, NORTHFIELD",,,,,,,,,,0.5744587741653152,0.5596261935396493,0.4964902112313241,0.4027598412015115,,0.5320645801389015,0.04550095132024688
52,E14000566,"BIRMINGHAM, PERRY BARR",,,,,,,,,,0.6302656525813412,0.4654301520699147,0.4695073372568168,0.5028421928885718,,0.6812453333936692,0.045104040619735684
53,E14000567,"BIRMINGHAM, SELLY OAK",,,,,,,,,,0.5563006923837784,0.524064837905237,0.46061332055582177,0.3854992161158001,,0.629498826171277,0.06406291062728688
