,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
0,W07000049,ABERAVON,,,,,,,,,,,0.09788009274594237,0.11775843741695456,0.0709994185670909,0.11620086920661105,0.08299266562462426,0.08579656940312679
1,W07000058,ABERCONWY,,,,,,,,,,,,,0.1782353333778282,0.11728804564150193,0.09860031104199067,0.08485799466499294
2,S14000001,ABERDEEN NORTH,,,,,,,,,,,,,,,,
3,S14000002,ABERDEEN SOUTH,,,,,,,,,,,,,,,,
4,S14000003,AIRDRIE AND SHOTTS,,,,,,,,,,,,,,,,
5,E14000530,ALDERSHOT,,,,,,,,,,,,,,,,
6,E14000531,ALDRIDGE-BROWNHILLS,,,,,,,,,,,,,,,,
7,E14000532,ALTRINCHAM AND SALE WEST,,,,,,,,,,,,,,,,
8,W07000043,ALYN AND DEESIDE,,,,,,,,,,,,,0.03879968940209904,,0.026161751563896336,0.03378441220238095
9,E14000533,AMBER VALLEY,,,,,,,,,,,,,,,,
10,S14000004,ANGUS,,,,,,,,,,,,,,,,
11,W07000057,ARFON,,,,,,,,,,,,,0.3598051997852596,0.43931885084025785,0.4083593306863301,0.45174382609892
12,S14000005,ARGYLL AND BUTE,,,,,,,,,,,,,,,,
13,E14000534,ARUNDEL AND SOUTH DOWNS,,,,,,,,,,,,,,,,
14,E14000535,ASHFIELD,,,,,,,,,,,,,,,,
15,E14000536,ASHFORD,,,,,,,,,,,,,,,,
16,E14000537,ASHTON-UNDER-LYNE,,,,,,,,,,,,,,,,
17,E14000538,AYLESBURY,,,,,,,,,,,,,,,,
18,S14000006,"AYR, CARRICK AND CUMNOCK",,,,,,,,,,,,,,,,
19,E14000539,BANBURY,,,,,,,,,,,,,,,,
20,S14000007,BANFF AND BUCHAN,,,,,,,,,,,,,,,,
21,E14000540,BARKING,,,,,,,,,,,,,,,,
22,E14000541,BARNSLEY CENTRAL,,,,,,,,,,,,,,,,
23,E14000542,BARNSLEY EAST,,,,,,,,,,,,,,,,
24,E14000543,BARROW AND FURNESS,,,,,,,,,,,,,,,,
25,E14000544,BASILDON AND BILLERICAY,,,,,,,,,,,,,,,,
26,E14000545,BASINGSTOKE,,,,,,,,,,,,,,,,
27,E14000546,BASSETLAW,,,,,,,,,,,,,,,,
28,E14000547,BATH,,,,,,,,,,,,,,,,
29,E14000548,BATLEY AND SPEN,,,,,,,,,,,,,,,,
30,E14000549,BATTERSEA,,,,,,,,,,,,,,,,
31,E14000550,BEACONSFIELD,,,,,,,,,,,,,,,,
32,E14000551,BECKENHAM,,,,,,,,,,,,,,,,
33,E14000552,BEDFORD,,,,,,,,,,,,,,,,
34,N06000001,BELFAST EAST,,,,,,,,,,,,,,,,
35,N06000002,BELFAST NORTH,,,,,,,,,,,,,,,,
36,N06000003,BELFAST SOUTH,,,,,,,,,,,,,,,,
37,N06000004,BELFAST WEST,,,,,,,,,,,,,,,,
38,E14000553,BERMONDSEY AND OLD SOUTHWARK,,,,,,,,,,,,,,,,
39,S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",,,,,,,,,,,,,,,,
40,E14000554,BERWICK-UPON-TWEED,,,,,,,,,,,,,,,,
41,E14000555,BETHNAL GREEN AND BOW,,,,,,,,,,,,,,,,
42,E14000556,BEVERLEY AND HOLDERNESS,,,,,,,,,,,,,,,,
43,E14000557,BEXHILL AND BATTLE,,,,,,,,,,,,,,,,
44,E14000558,BEXLEYHEATH AND CRAYFORD,,,,,,,,,,,,,,,,
45,E14000559,BIRKENHEAD,,,,,,,,,,,,,,,,
46,E14000560,"BIRMINGHAM, EDGBASTON",,,,,,,,,,,,,,,,
47,E14000561,"BIRMINGHAM, ERDINGTON",,,,,,,,,,,,,,,,
48,E14000562,"BIRMINGHAM, HALL GREEN",,,,,,,,,,,,,,,,
49,E14000563,"BIRMINGHAM, HODGE HILL",,,,,,,,,,,,,,,,
50,E14000564,"BIRMINGHAM, LADYWOOD",,,,,,,,,,,,,,,,
51,E14000565,"BIRMINGHAM, NORTHFIELD",,,,,,,,,,,,,,,,
52,E14000566,"BIRMINGHAM, PERRY BARR",,,,,,,,,,,,,,,,
53,E14000567,"BIRMINGHAM, SELLY OAK",,,,,,,,,,,,,,,,
54,E14000568,"BIRMINGHAM, YARDLEY",,,,,,,,,,,,,,,,
55,E14000569,BISHOP AUCKLAND,,,,,,,,,,,,,,,,
56,E14000570,BLACKBURN,,,,,,,,,,,,,,,,
57,E14000571,BLACKLEY AND BROUGHTON,,,,,,,,,,,,,,,,
58,E14000572,BLACKPOOL NORTH AND CLEVELEYS,,,,,,,,,,,,,,,,
59,E14000573,BLACKPOOL SOUTH,,,,,,,,,,,,,,,,
60,W07000072,BLAENAU GWENT,,,,,,,,,,,0.11164696611505122,0.023914215199568805,0.04114832535885168,0.08992204021083862,0.2124505928853755,0.05698401667824878
61,E14000574,BLAYDON,,,,,,,,,,,,,,,,
62,E14000575,BLYTH VALLEY,,,,,,,,,,,,,,,,
63,E14000576,BOGNOR REGIS AND LITTLEHAMPTON,,,,,,,,,,,,,,,,
64,E14000577,BOLSOVER,,,,,,,,,,,,,,,,
65,E14000578,BOLTON NORTH EAST,,,,,,,,,,,,,,,,
66,E14000579,BOLTON SOUTH EAST,,,,,,,,,,,,,,,,
67,E14000580,BOLTON WEST,,,,,,,,,,,,,,,,
68,E14000581,BOOTLE,,,,,,,,,,,,,,,,
69,E14000582,BOSTON AND SKEGNESS,,,,,,,,,,,,,,,,
70,E14000583,BOSWORTH,,,,,,,,,,,,,,,,
71,E14000584,BOURNEMOUTH EAST,,,,,,,,,,,,,,,,
72,E14000585,BOURNEMOUTH WEST,,,,,,,,,,,,,,,,
73,E14000586,BRACKNELL,,,,,,,,,,,,,,,,
74,E14000587,BRADFORD EAST,,,,,,,,,,,,,,,,
75,E14000588,BRADFORD SOUTH,,,,,,,,,,,,,,,,
76,E14000589,BRADFORD WEST,,,,,,,,,,,,,,,,
77,E14000590,BRAINTREE,,,,,,,,,,,,,,,,
78,W07000068,BRECON AND RADNORSHIRE,,,,,,,,,,,,,0.02546016218303514,,0.031426912469153724,
79,E14000591,BRENT CENTRAL,,,,,,,,,,,,,,,,
80,E14000593,BRENTFORD AND ISLEWORTH,,,,,,,,,,,,,,,,
81,E14000592,BRENT NORTH,,,,,,,,,,,,,,,,
82,E14000594,BRENTWOOD AND ONGAR,,,,,,,,,,,,,,,,
83,W07000073,BRIDGEND,,,,,,,,,,,0.07169107712262876,0.06674766898227634,0.05917020888205075,0.07056497604744887,0.04122066813085192,0.04766076332986078
84,E14000595,BRIDGWATER AND WEST SOMERSET,,,,,,,,,,,,,,,,
85,E14000596,BRIGG AND GOOLE,,,,,,,,,,,,,,,,
86,E14000597,"BRIGHTON, KEMPTOWN",,,,,,,,,,,,,,,,
87,E14000598,"BRIGHTON, PAVILION",,,,,,,,,,,,,,,,
88,E14000599,BRISTOL EAST,,,,,,,,,,,,,,,,
89,E14000600,BRISTOL NORTH WEST,,,,,,,,,,,,,,,,
90,E14000601,BRISTOL SOUTH,,,,,,,,,,,,,,,,
91,E14000602,BRISTOL WEST,,,,,,,,,,,,,,,,
92,E14000603,BROADLAND,,,,,,,,,,,,,,,,
93,E14000604,BROMLEY AND CHISLEHURST,,,,,,,,,,,,,,,,
94,E14000605,BROMSGROVE,,,,,,,,,,,,,,,,
95,E14000606,BROXBOURNE,,,,,,,,,,,,,,,,
96,E14000607,BROXTOWE,,,,,,,,,,,,,,,,
97,E14000608,BUCKINGHAM,,,,,,,,,,,,,,,,
98,E14000609,BURNLEY,,,,,,,,,,,,,,,,
99,E14000610,BURTON,,,,,,,,,,,,,,,,
100,E14000611,BURY NORTH,,,,,,,,,,,,,,,,
101,E14000612,BURY SOUTH,,,,,,,,,,,,,,,,
102,E14000613,BURY ST EDMUNDS,,,,,,,,,,,,,,,,
103,W07000076,CAERPHILLY,,,,,,,,,,,0.21043957458862309,0.17413138239567666,0.16695957820738136,0.14633964699749274,0.1443688403515994,0.1601316150260488
104,S14000009,"CAITHNESS, SUTHERLAND AND EASTER ROSS",,,,,,,,,,,,,,,,
105,E14000614,CALDER VALLEY,,,,,,,,,,,,,,,,
106,E14000615,CAMBERWELL AND PECKHAM,,,,,,,,,,,,,,,,
107,E14000616,CAMBORNE AND REDRUTH,,,,,,,,,,,,,,,,
108,E14000617,CAMBRIDGE,,,,,,,,,,,,,,,,
109,E14000618,CANNOCK CHASE,,,,,,,,,,,,,,,,
110,E14000619,CANTERBURY,,,,,,,,,,,,,,,,
111,W07000050,CARDIFF CENTRAL,,,,,,,,,,,0.048217668331324265,0.035176574781357245,0.03446654311084064,0.04981110593593127,0.02474793767186068,
112,W07000051,CARDIFF NORTH,,,,,,,,,,,0.05714616096207215,0.04268077601410935,0.03334033172370355,0.044984457781861546,0.033408942370535544,0.030494056886796034
113,W07000080,CARDIFF SOUTH AND PENARTH,,,,,,,,,,,,,,,,0.047173728227129834
114,W07000079,CARDIFF WEST,,,,,,,,,,,0.09670510225038875,0.12488064581464657,0.07002295033937204,0.1392035074899525,0.09474790366510112,0.08367802152586785
115,E14000620,CARLISLE,,,,,,,,,,,,,,,,
116,W07000067,CARMARTHEN EAST AND DINEFWR,,,,,,,,,,,,,0.3563705243219068,,0.3930634429306101,0.3887371347739135
117,W07000066,CARMARTHEN WEST AND SOUTH PEMBROKESHIRE,,,,,,,,,,,,,0.10447576962006566,,0.09314166627196514,0.086265849836159
118,E14000621,CARSHALTON AND WALLINGTON,,,,,,,,,,,,,,,,
119,E14000622,CASTLE POINT,,,,,,,,,,,,,,,,
120,S14000010,CENTRAL AYRSHIRE,,,,,,,,,,,,,,,,
121,E14000623,CENTRAL DEVON,,,,,,,,,,,,,,,,
122,E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,,,,,,,,,,,,,,,,
123,W07000064,CEREDIGION,,,,,,,,,,,0.3826215107206843,0.359167663504604,0.28268597417533586,0.27653944836433614,0.29227751653380946,0.3792045879566139
124,E14000625,CHARNWOOD,,,,,,,,,,,,,,,,
125,E14000626,CHATHAM AND AYLESFORD,,,,,,,,,,,,,,,,
126,E14000627,CHEADLE,,,,,,,,,,,,,,,,
127,E14000628,CHELMSFORD,,,,,,,,,,,,,,,,
128,E14000629,CHELSEA AND FULHAM,,,,,,,,,,,,,,,,
129,E14000630,CHELTENHAM,,,,,,,,,,,,,,,,
130,E14000631,CHESHAM AND AMERSHAM,,,,,,,,,,,,,,,,
131,E14000632,CHESTERFIELD,,,,,,,,,,,,,,,,
132,E14000633,CHICHESTER,,,,,,,,,,,,,,,,
133,E14000634,CHINGFORD AND WOODFORD GREEN,,,,,,,,,,,,,,,,
134,E14000635,CHIPPENHAM,,,,,,,,,,,,,,,,
135,E14000636,CHIPPING BARNET,,,,,,,,,,,,,,,,
136,E14000637,CHORLEY,,,,,,,,,,,,,,,,
137,E14000638,CHRISTCHURCH,,,,,,,,,,,,,,,,
138,E14000639,CITIES OF LONDON AND WESTMINSTER,,,,,,,,,,,,,,,,
139,E14000640,CITY OF CHESTER,,,,,,,,,,,,,,,,
140,E14000641,CITY OF DURHAM,,,,,,,,,,,,,,,,
141,E14000642,CLACTON,,,,,,,,,,,,,,,,
142,E14000643,CLEETHORPES,,,,,,,,,,,,,,,,
143,W07000062,CLWYD SOUTH,,,,,,,,,,,0.11887986625268689,0.09447025598979684,0.0867622040886941,0.10323979009810633,0.06118909110316486,0.05886079435905911
144,W07000059,CLWYD WEST,,,,,,,,,,,0.12869942196531792,0.10877744707137643,0.15386633780273412,0.12230461765015252,0.0963742805136026,0.09718180235305823
145,S14000011,"COATBRIDGE, CHRYSTON AND BELLSHILL",,,,,,,,,,,,,,,,
146,E14000644,COLCHESTER,,,,,,,,,,,,,,,,
147,E14000645,COLNE VALLEY,,,,,,,,,,,,,,,,
148,E14000646,CONGLETON,,,,,,,,,,,,,,,,
149,E14000647,COPELAND,,,,,,,,,,,,,,,,
150,E14000648,CORBY,,,,,,,,,,,,,,,,
151,E14000649,COVENTRY NORTH EAST,,,,,,,,,,,,,,,,
152,E14000650,COVENTRY NORTH WEST,,,,,,,,,,,,,,,,
153,E14000651,COVENTRY SOUTH,,,,,,,,,,,,,,,,
154,E14000652,CRAWLEY,,,,,,,,,,,,,,,,
155,E14000653,CREWE AND NANTWICH,,,,,,,,,,,,,,,,
156,E14000654,CROYDON CENTRAL,,,,,,,,,,,,,,,,
157,E14000655,CROYDON NORTH,,,,,,,,,,,,,,,,
158,E14000656,CROYDON SOUTH,,,,,,,,,,,,,,,,
159,S14000012,"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",,,,,,,,,,,,,,,,
160,W07000070,CYNON VALLEY,,,,,,,,,,,0.173863046220046,0.14316808646376702,0.20297228544651225,0.16822000525072198,0.13760140871643292,0.08473343034792961
161,E14000657,DAGENHAM AND RAINHAM,,,,,,,,,,,,,,,,
162,E14000658,DARLINGTON,,,,,,,,,,,,,,,,
163,E14000659,DARTFORD,,,,,,,,,,,,,,,,
164,E14000660,DAVENTRY,,,,,,,,,,,,,,,,
165,W07000042,DELYN,,,,,,,,,,,0.06530777226007622,0.07422656158099047,0.04985939865887951,0.04813519502362709,0.03757166776599523,0.03664321084180349
166,E14000661,DENTON AND REDDISH,,,,,,,,,,,,,,,,
167,E14000662,DERBY NORTH,,,,,,,,,,,,,,,,
168,E14000664,DERBYSHIRE DALES,,,,,,,,,,,,,,,,
169,E14000663,DERBY SOUTH,,,,,,,,,,,,,,,,
170,E14000665,DEVIZES,,,,,,,,,,,,,,,,
171,E14000666,DEWSBURY,,,,,,,,,,,,,,,,
172,E14000668,DONCASTER CENTRAL,,,,,,,,,,,,,,,,
173,E14000669,DONCASTER NORTH,,,,,,,,,,,,,,,,
