,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.32,0.0,0.0,0.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.3729286798179059,0.0,0.0,0.3751542741527567,0.2456853818917551,0.0062316641375821,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.4081349980491611,0.0,0.0,0.4141630901287553,0.1777019118220835,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.3836608848620122,0.0,0.0,0.4763841337696484,0.1370041803015113,0.002950801066828,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.2801278352345865,0.0,0.0,0.5672244662435084,0.1130320919703493,0.0396156065515557,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.2829211372627145,0.0,0.0,0.5579019267438882,0.1057859236702052,0.053391012323192,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.2400491736101625,0.0,0.0,0.4904794426990848,0.1457177981150116,0.123753585575741,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.2910909330175023,0.0,0.0,0.4127385182260824,0.1828661666008685,0.0780629030135544,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.2627127659574468,0.0,0.0330585106382978,0.4342553191489361,0.029095744680851,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.3815927306389924,0.0,0.0090136178713245,0.544812297498112,0.0125703427610904,0.0091841457769982,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0709342995898442,0.4037140484638031,0.0,0.0247351601620492,0.4627462821770967,0.0378702096072066,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
