,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.48,0.0,0.0,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.4732230967338195,0.0,0.0,0.2838953474378415,0.2138301201049414,0.0290514357233976,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.571253378148207,0.0,0.0,0.2531510458065542,0.1559512184043785,0.0196443576408602,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.561129817591628,0.0,0.0,0.1598556236525277,0.2609190668830697,0.0180954918727744,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.5792660033790126,0.0,0.0,0.1904214379575746,0.2303125586634128,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.5697966999933198,0.0,0.0,0.2591462735754525,0.1613707720056113,0.0096862544256162,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.4300817108846969,0.0,0.0,0.4092000403510542,0.1234944012912337,0.0372238474730152,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.4640569059732429,0.0,0.0,0.4004381006218202,0.1355049934049368,0.0,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.465869139472877,0.0,0.0,0.3252400839999056,0.1574054411174819,0.0514853354097354,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.4880651280429972,0.0,0.0201746759405627,0.2523909263357572,0.2015886816313626,0.0092870692380651,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.4858996849829287,0.0,0.0471771075019334,0.341482277931828,0.0449135117801294,0.0022258691264406,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.4633274994136008,0.0,0.0253685293109358,0.4569583025097883,0.0543456687656749,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.4472024874498428,0.0,0.0223731522173391,0.426149490177005,0.103041567510292,0.001233302645521,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
