,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.4338566942620611,0.0,0.0,0.1768388999904843,0.2912360833571225,0.0980683223903321,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.4741309028576206,0.0,0.0,0.1666910550410769,0.3028199928925308,0.0563580492087714,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.4685564602919975,0.0,0.0,0.1542835096554105,0.3074095884013239,0.069750441651268,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.4833496571988246,0.0,0.0153507119716718,0.1077563474723122,0.3116853763278837,0.0,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.4853433142327183,0.0,0.0,0.1135603325494352,0.0243118810241462,0.3568613162863105,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.5084356905404772,0.0,0.0110967178062522,0.0447926583740421,0.0276403477283723,0.408034585550856,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
