,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.4268648792142288,0.0,0.0,0.3587225092401625,0.1852116558779686,0.02920095566764,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.4585353465392252,0.0,0.0,0.3504409659694325,0.1454495082421388,0.0455741792492034,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.45210442194992,0.0,0.0,0.3182099094299414,0.1933937133724027,0.0362919552477357,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.4746556366332384,0.0,0.0148671323213797,0.2029305029851328,0.2115347094860888,0.0542201584266593,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.5827340796204314,0.0,0.0174772036474164,0.3046185781006746,0.0395507450515234,0.0188116242864556,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.6440902802781936,0.0,0.0317421213212302,0.2122647766681195,0.0799522446891167,0.0319505770433398,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
