,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.4923908001256977,0.0,0.0,0.3051012315381508,0.2025079683361515,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.4610815879962488,0.0,0.0,0.3616613146153628,0.1772570973883884,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.5634938550288437,0.0,0.0,0.3226486079759217,0.1138575369952345,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.51,0.0,0.0,0.21,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.5126797541619429,0.0,0.0,0.2373649979115699,0.2499552479264872,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.6036696915358003,0.0,0.0,0.2055824231556449,0.1725986705066203,0.0181492148019344,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.6014490108767063,0.0,0.0,0.1146981531498649,0.2641068691145339,0.0197459668588948,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.5941823581021799,0.0,0.0,0.1290072214348383,0.2768104204629817,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.5456166040618833,0.0,0.0,0.1191029477303113,0.3300598459285669,0.0052206022792385,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.4182466466693078,0.0,0.0,0.2515139509876054,0.2951685626426698,0.0350708397004169,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.4468951256811769,0.0,0.0,0.199689835655976,0.3337712968746634,0.0196437417881836,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.4285296940862234,0.0,0.0,0.1924377112808313,0.3473143858770502,0.031718208755895,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.4894712894712895,0.0,0.0,0.127054327054327,0.3111657111657112,0.0457002457002457,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.5274342017495378,0.0,0.0414895847229898,0.1532846715328467,0.1341121762497379,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.5231952498350637,0.0,0.019271502482725,0.3074065071703878,0.1264974478280496,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.5530103456096582,0.0,0.029815593433242,0.2515745215373611,0.1588129590537169,0.0067865803660217,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
