,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.3,0.0,0.0,0.51,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.2930224836353287,0.0,0.0,0.437577079973437,0.2581349018119723,0.0112655345792619,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.2654533606404766,0.0,0.0,0.487153230310929,0.2473934090485943,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.2831415939445846,0.0,0.0,0.577046827619731,0.1398115784356843,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.1867735806884219,0.0,0.0,0.6747597228430934,0.1030677246312025,0.035398971837282,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.1943555326105661,0.0,0.0,0.6294957838581999,0.1350197900533471,0.0411288934778867,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.1847591182631246,0.0,0.0,0.5917810951890149,0.2068357881437643,0.0166239984040961,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.231745695924682,0.0,0.0,0.5039536667283738,0.1750191733001877,0.0892814640467564,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.2093674730338255,0.0,0.0292438998848046,0.5374908367368311,0.0339302544769085,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.305880649598224,0.0,0.0104727202528896,0.613595231775295,0.0178325812601047,0.0101831519509664,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0763341186110826,0.3567807026528731,0.0,0.0224828433883027,0.4984123732459285,0.0459899621018129,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
