,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.3815806521269704,0.0,0.0,0.4768084646944504,0.1416108831785791,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.3698737997856565,0.0,0.0,0.5016294481747994,0.1284967520395442,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.4431092453693572,0.0,0.0,0.4537333625131807,0.1031573921174621,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.37,0.0,0.0,0.39,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.3721685195596583,0.0,0.0,0.4147518090643646,0.1887774533451821,0.0243022180307949,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.479631597591215,0.0,0.0,0.3959198789166908,0.1070750008050751,0.0173735226870189,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.5288678558427375,0.0,0.0,0.2343647615580633,0.2218602111394248,0.0149071714597742,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.5470540869297058,0.0,0.0,0.2447018108927684,0.1970052596412479,0.0112388425362778,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.5074264110180935,0.0,0.0,0.3237408857682959,0.1511105860113421,0.0177221172022684,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.3768929628568701,0.0,0.0,0.4859734555523727,0.1182087272032846,0.0189248543874725,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.3533691869661499,0.0,0.0,0.497491752157997,0.1280562209065847,0.0210828399692683,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.370654529692241,0.0,0.0,0.4139141742522756,0.1789770264412657,0.0364542696142176,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.4158181611718838,0.0,0.0,0.3449600666187213,0.1831068549150232,0.038608577160377,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.4952326028450596,0.0,0.0354671280276816,0.3187043444828912,0.0409457900807381,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.4990396690551821,0.0,0.0179323336041959,0.4202001920661889,0.035772327694467,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.5116875034321173,0.0,0.0275301568706412,0.3804616426570995,0.0760191100291043,0.0043015870110376,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
