,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.4345248115519144,0.0,0.0,0.1864654059817069,0.3063239997755457,0.0726857826908329,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.4615686788005761,0.0,0.0,0.1897123652394046,0.3110296364191873,0.0376893195408319,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.4801592112175213,0.0,0.0,0.1268840667555663,0.3611548874611064,0.0318018345658059,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.5071882553039119,0.0,0.0115477575866081,0.066046011995345,0.3746665473099991,0.0150747471130606,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.5692172897196262,0.0,0.0254900051921079,0.250016225337487,0.1274500259605399,0.0075285565939771,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.5330454733756095,0.0,0.0355947866543449,0.1787387272553456,0.243108887543418,0.0095121251712819,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
