,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.26,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.4081582200247218,0.0,0.0,0.3580851781099,0.2230138217777278,0.0107427800876502,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.3883114633406955,0.0,0.0,0.4420769996968516,0.1581568576501667,0.0114546793122861,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.3702015242904568,0.0,0.0,0.4938280263711601,0.1359704493383831,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.2341607359833362,0.0,0.0,0.5917375455650061,0.1499522652317306,0.024149453219927,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.2126182965299684,0.0,0.0,0.5497275595067393,0.2169199885288213,0.0207341554344708,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.1600501113585746,0.0,0.0,0.4513084632516704,0.3404510022271715,0.0481904231625835,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.1935474426911028,0.0,0.0166290950610416,0.4594665807887109,0.2408876657786105,0.0673946775185174,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.1889126407296565,0.0,0.0491378081801339,0.5501211343879151,0.0632178993872025,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.2462392839812368,0.0,0.0160403299725022,0.6489189626354667,0.0488488704372674,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0678336980306345,0.2479052142819021,0.0,0.036425254843358,0.5755457116934408,0.0722901211506644,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
