,Alliance Vote,Brexit Vote,Con Vote,DUP Vote,Green Vote,Labour Vote,Liberal Vote,Other Vote,PC Vote,SDLP Vote,Sinn Fein Vote,SNP Vote,UUP Vote,Election Date,Date Ordinals
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964-10-15,717259
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-03-31,717791
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-18,719331
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-02-28,720682
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974-10-10,720906
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979-05-03,722572
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983-06-09,724070
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987-06-11,725533
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992-04-09,727297
9,0.0,0.0,0.5002152052275306,0.0,0.0,0.3472042884532613,0.1134131549086356,0.0391673514105724,0.0,0.0,0.0,0.0,0.0,1997-05-01,729145
10,0.0,0.0,0.5048601232811759,0.0,0.0,0.3417259364627785,0.1159554291133238,0.0374585111427216,0.0,0.0,0.0,0.0,0.0,2001-06-07,730643
11,0.0,0.0,0.5204993173395748,0.0,0.0,0.1753852155256485,0.1380924517261556,0.166023015408621,0.0,0.0,0.0,0.0,0.0,2005-05-05,732071
12,0.0,0.0,0.5319984139571768,0.0,0.0,0.2030927835051546,0.1670697858842188,0.043259318001586,0.0,0.0,0.0,0.0,0.0,2010-05-06,733898
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-07,735725
14,0.0,0.0,0.6976462071259465,0.0,0.0231270422039171,0.2528517482243831,0.0263750024457531,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,736488
15,0.0,0.0,0.7303269673032696,0.0,0.0386961303869613,0.1653834616538346,0.0655934406559344,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12,737405
