Elections,CON Vote Share,CON Seats,LAB Vote Share,LAB Seats,LD Vote Share,LD Seats,PC/SNP Vote Share,PC/SNP Seats,Other Vote Share,Other Seats,date_ordinal,CON Vote Share Change,CON Seats Change,LAB Vote Share Change,LAB Seats Change,LD Vote Share Change,LD Seats Change,PC/SNP Vote Share Change,PC/SNP Seats Change,Other Vote Share Change,Other Seats Change
1918-12-14,0.39,382.0,0.21,57.0,0.26,163.0,0.0,0.0,0.15,105.0,700517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922-11-15,0.38,344.0,0.3,142.0,0.29,115.0,0.0,0.0,0.03,14.0,701949,-0.01,382.0,0.09,57.0,0.03,163.0,0.0,0.0,-0.12,105.0
1923-12-06,0.38,258.0,0.31,191.0,0.3,158.0,0.0,0.0,0.02,8.0,702335,0.0,344.0,0.01,142.0,0.01,115.0,0.0,0.0,-0.01,14.0
1924-10-29,0.47,412.0,0.33,151.0,0.18,40.0,0.0,0.0,0.02,12.0,702663,0.09,258.0,0.02,191.0,-0.12,158.0,0.0,0.0,0.0,8.0
1929-05-30,0.38,260.0,0.37,287.0,0.24,59.0,0.0,0.0,0.01,9.0,704337,-0.09,412.0,0.04,151.0,0.06,40.0,0.0,0.0,-0.01,12.0
1931-10-27,0.61,522.0,0.31,52.0,0.07,36.0,0.0,0.0,0.01,5.0,705217,0.23,260.0,-0.06,287.0,-0.17,59.0,0.0,0.0,0.0,9.0
1935-11-14,0.53,429.0,0.38,154.0,0.07,21.0,0.0,0.0,0.02,11.0,706696,-0.08,522.0,0.07,52.0,0.0,36.0,0.0,0.0,0.01,5.0
1945-07-05,0.4,210.0,0.48,393.0,0.09,12.0,0.0,0.0,0.03,25.0,710217,-0.13,429.0,0.1,154.0,0.02,21.0,0.0,0.0,0.01,11.0
1950-02-23,0.43,298.0,0.46,315.0,0.09,9.0,0.0,0.0,0.01,3.0,711911,0.03,210.0,-0.02,393.0,0.0,12.0,0.0,0.0,-0.02,25.0
1951-10-25,0.48,321.0,0.49,295.0,0.03,6.0,0.0,0.0,0.01,3.0,712520,0.05,298.0,0.03,315.0,-0.06,9.0,0.0,0.0,0.0,3.0
1955-05-26,0.5,345.0,0.46,277.0,0.03,6.0,0.0,0.0,0.01,2.0,713829,0.02,321.0,-0.03,295.0,0.0,6.0,0.0,0.0,0.0,3.0
1959-10-08,0.49,365.0,0.44,258.0,0.06,6.0,0.0,0.0,0.01,1.0,715425,-0.01,345.0,-0.02,277.0,0.03,6.0,0.0,0.0,0.0,2.0
1964-10-15,0.43,304.0,0.44,317.0,0.11,9.0,0.0,0.0,0.01,0.0,717259,-0.06,365.0,0.0,258.0,0.05,6.0,0.0,0.0,0.0,1.0
1966-03-31,0.42,253.0,0.48,364.0,0.09,12.0,0.01,0.0,0.01,1.0,717791,-0.01,304.0,0.04,317.0,-0.02,9.0,0.01,0.0,0.0,0.0
1970-06-18,0.46,330.0,0.43,288.0,0.07,6.0,0.02,1.0,0.01,5.0,719331,0.04,253.0,-0.05,364.0,-0.02,12.0,0.01,0.0,0.0,1.0
1974-02-28,0.38,297.0,0.37,301.0,0.19,14.0,0.03,9.0,0.03,14.0,720682,-0.08,330.0,-0.06,288.0,0.12,6.0,0.01,1.0,0.02,5.0
1974-10-10,0.36,277.0,0.39,319.0,0.18,13.0,0.03,14.0,0.03,12.0,720906,-0.02,297.0,0.02,301.0,-0.01,14.0,0.0,9.0,0.0,14.0
1979-05-03,0.44,339.0,0.37,269.0,0.14,11.0,0.02,4.0,0.03,12.0,722572,0.08,277.0,-0.02,319.0,-0.04,13.0,-0.01,14.0,0.0,12.0
1983-06-09,0.42,397.0,0.28,209.0,0.25,23.0,0.01,4.0,0.03,17.0,724070,-0.02,339.0,-0.09,269.0,0.11,11.0,-0.01,4.0,0.0,12.0
1987-06-11,0.42,376.0,0.31,229.0,0.23,22.0,0.02,6.0,0.03,17.0,725533,0.0,397.0,0.03,209.0,-0.02,23.0,0.01,4.0,0.0,17.0
1992-04-09,0.42,336.0,0.34,271.0,0.18,20.0,0.02,7.0,0.03,17.0,727297,0.0,376.0,0.03,229.0,-0.05,22.0,0.0,6.0,0.0,17.0
1997-05-01,0.31,165.0,0.43,418.0,0.17,46.0,0.03,10.0,0.07,20.0,729145,-0.11,336.0,0.09,271.0,-0.01,20.0,0.01,7.0,0.04,17.0
2001-06-07,0.32,166.0,0.41,412.0,0.18,52.0,0.03,9.0,0.07,20.0,730643,0.01,165.0,-0.02,418.0,0.01,46.0,0.0,10.0,0.0,20.0
2005-05-05,0.32,198.0,0.35,355.0,0.22,62.0,0.02,9.0,0.08,22.0,732071,0.0,166.0,-0.06,412.0,0.04,52.0,-0.01,9.0,0.01,20.0
2010-05-06,0.36,306.0,0.29,258.0,0.23,57.0,0.02,9.0,0.1,20.0,733898,0.04,198.0,-0.06,355.0,0.01,62.0,0.0,9.0,0.02,22.0
2015-05-07,0.37,330.0,0.3,232.0,0.08,8.0,0.05,59.0,0.2,21.0,735725,0.01,306.0,0.01,258.0,-0.15,57.0,0.03,9.0,0.1,20.0
2017-06-08,0.42,317.0,0.4,262.0,0.07,12.0,0.04,39.0,0.07,20.0,736488,0.05,330.0,0.1,232.0,-0.01,8.0,-0.01,59.0,-0.13,21.0
2019-12-12,0.44,365.0,0.32,202.0,0.12,11.0,0.04,52.0,0.08,20.0,737405,0.02,317.0,-0.08,262.0,0.05,12.0,0.0,39.0,0.01,20.0
2024-07-08,0.228,0.5,0.565,0.5,0.09,0.5,0.038,0.5,0.079,50.0,739075,-0.21,365.0,0.24,202.0,-0.03,11.0,-0.0,52.0,-0.0,20.0
