Date / Time,Con Vote,Lab Vote,Lib Dem Vote,PC/SNP Vote,Other Vote,Con Seats,Lab Seats,Lib Dem Seats,PC/SNP Seats,Other Seats
Tue May  2 16:57:45 2023,27.02,44.93,9.57,4.75,4.83,122,385,35,62,46
Tue May  2 16:59:27 2023,34.82,38.94,8.85,4.75,4.54,232,356,11,49,2
Tue May  2 17:00:30 2023,31.74,44.93,8.56,6.44,4.83,174,383,19,44,30
Tue May  2 17:01:51 2023,31.74,44.93,8.56,6.44,4.83,169,390,17,43,31
Tue May  2 17:13:49 2023,31.74,44.93,8.56,6.44,4.83,176,400,17,31,26
Tue May  2 17:20:02 2023,31.74,44.93,8.56,6.44,4.83,174,388,19,42,27
Wed May  3 13:59:22 2023,31.74,49.96,9.36,6.41,5.0,156,436,13,20,25
Wed May  3 14:00:26 2023,31.74,49.96,9.36,6.41,5.0,160,415,16,32,27
Wed May  3 15:32:23 2023,31.74,49.96,9.36,6.41,5.0,159,404,20,35,32
Thu May  4 12:39:30 2023,31.74,49.96,9.36,6.41,5.0,203,406,1,25,15
Mon May  8 11:48:47 2023,31.74,49.96,9.36,6.41,5.0,159,425,12,29,25
Mon May  8 11:55:32 2023,31.74,49.96,9.36,6.41,5.0,162,442,6,20,20
Mon May  8 11:57:17 2023,35.07,45.56,9.36,3.97,5.0,206,373,13,37,21
Mon May  8 11:58:46 2023,27.02,45.48,9.36,3.61,5.0,133,396,29,52,40
Mon May  8 11:59:35 2023,27.02,45.48,9.36,3.72,5.0,131,399,31,51,38
Mon May  8 12:00:46 2023,27.02,45.56,9.36,3.97,5.0,127,396,31,53,43
Mon May  8 12:03:04 2023,27.02,45.56,9.36,3.97,5.0,214,373,10,32,21
Mon May  8 12:04:49 2023,27.02,45.48,9.36,3.97,5.0,120,423,26,43,38
Mon May  8 12:07:01 2023,27.02,48.27,9.36,3.97,5.0,108,426,30,44,42
Mon May  8 12:09:08 2023,25.59,45.01,9.46,4.06,4.64,139,397,30,45,39
Mon May  8 12:12:23 2023,28.0,42.64,9.21,4.03,5.0,149,382,28,52,39
Tue May  9 15:12:49 2023,28.0,42.64,9.21,4.03,5.0,137,392,30,51,40
Tue May  9 15:14:15 2023,30.03,44.87,9.45,4.2,5.0,145,416,18,40,31
Tue May  9 15:15:35 2023,28.47,36.56,7.79,4.49,5.51,176,355,26,55,38
Tue May  9 15:16:38 2023,28.84,42.61,9.01,3.67,4.92,153,383,26,51,37
Tue May  9 15:44:58 2023,28.84,42.61,9.01,3.67,4.92,156,372,31,52,39
Wed May 10 10:44:18 2023,28.84,42.61,9.01,3.67,4.92,162,378,23,54,33
Thu May 11 09:49:32 2023,28.84,42.61,9.01,3.67,4.92,152,371,29,58,40
Thu May 11 11:01:28 2023,28.84,42.61,9.01,3.67,4.92,156,375,27,56,36
